Event	ID	Name			Wwise Object Path	Notes
	4060911613	DOG_FOOTSTEPS			\Default Work Unit\DOG_FOOTSTEPS	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	104818639	DOG GROWL	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Animals, Dog, Snarling, Growling 1 SND1492_16BBDD13.wem		\Actor-Mixer Hierarchy\DOGS\VOCAL\GROWL\DOG GROWL		131796
	343895469	Fox footsteps_01	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Fox footsteps_788DCBFB.wem		\Actor-Mixer Hierarchy\DOGS\MOVEMENT\FOOTSTEPS\Fox footsteps_01		61564
	387860380	Fox footsteps_04	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Fox footsteps_B10B6F11.wem		\Actor-Mixer Hierarchy\DOGS\MOVEMENT\FOOTSTEPS\Fox footsteps_04		68748
	423962272	Fox footsteps	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Fox footsteps_78952362.wem		\Actor-Mixer Hierarchy\DOGS\MOVEMENT\FOOTSTEPS\Fox footsteps		96700
	569840626	DOG GROWL_02	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Animals, Dog, Snarling, Growling 1 SND1492_50498005.wem		\Actor-Mixer Hierarchy\DOGS\VOCAL\GROWL\DOG GROWL_02		248436
	582029172	Fox footsteps_02	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Fox footsteps_67DD0183.wem		\Actor-Mixer Hierarchy\DOGS\MOVEMENT\FOOTSTEPS\Fox footsteps_02		60760
	585176649	Fox footsteps_03	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Fox footsteps_1DED7C87.wem		\Actor-Mixer Hierarchy\DOGS\MOVEMENT\FOOTSTEPS\Fox footsteps_03		64756
	653740311	DOG GROWL_01	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Animals, Dog, Snarling, Growling 1 SND1492_FAD54B3B.wem		\Actor-Mixer Hierarchy\DOGS\VOCAL\GROWL\DOG GROWL_01		153752
	720335047	DOG GROWL_03	A:\Users\Matthew\OneDrive\Documents\GitHub\Stealth-game\Stealth-game_WwiseProject\.cache\Mac\SFX\Animals, Dog, Snarling, Growling 1 SND1492_0DB51CC0.wem		\Actor-Mixer Hierarchy\DOGS\VOCAL\GROWL\DOG GROWL_03		262160

